busId,timestamp,latitude,longitude,speed
busId,timestamp,0,000000,0,000000,0,00
BUS01,2025-05-14T23:57:00,40,420247,-3,701958,46,54
BUS01,2025-05-14T23:58:00,40,419984,-3,701893,32,73
BUS01,2025-05-14T23:59:00,40,419645,-3,701759,19,54
BUS01,2025-05-15T00:00:00,40,419160,-3,701652,6,64
BUS01,2025-05-15T00:01:00,40,419437,-3,701921,23,17
BUS01,2025-05-15T00:02:00,40,419664,-3,701787,1,54
BUS01,2025-05-15T00:03:00,40,419295,-3,701415,36,18
BUS01,2025-05-15T00:04:00,40,419733,-3,701107,43,39
BUS01,2025-05-15T00:05:00,40,419818,-3,701045,35,70
BUS01,2025-05-15T00:06:00,40,419996,-3,700965,58,01
BUS01,2025-05-15T00:07:00,40,419665,-3,700664,17,14
BUS01,2025-05-15T00:08:00,40,420000,-3,700324,23,23
BUS01,2025-05-15T00:09:00,40,420091,-3,700579,19,39
BUS01,2025-05-15T00:10:00,40,419641,-3,700350,47,05
BUS01,2025-05-15T00:11:00,40,419232,-3,700314,36,84
BUS01,2025-05-15T00:12:00,40,419574,-3,700350,45,47
BUS01,2025-05-15T00:13:00,40,419499,-3,700398,40,19
BUS01,2025-05-15T00:14:00,40,419319,-3,700219,28,13
BUS01,2025-05-15T00:15:00,40,419006,-3,700154,21,75
BUS01,2025-05-15T00:16:00,40,419026,-3,700378,50,35
BUS01,2025-05-15T00:17:00,40,419474,-3,700233,37,90
BUS01,2025-05-15T00:18:00,40,419955,-3,700329,30,68
BUS01,2025-05-15T00:19:00,40,419912,-3,700700,56,01
BUS01,2025-05-15T00:20:00,40,419889,-3,701165,42,96
BUS01,2025-05-15T00:21:00,40,420346,-3,701366,40,67
BUS01,2025-05-15T00:22:00,40,420580,-3,701554,25,31
BUS01,2025-05-15T00:23:00,40,420938,-3,701689,23,92
BUS01,2025-05-15T00:24:00,40,421338,-3,701494,55,06
BUS01,2025-05-15T00:25:00,40,420879,-3,701560,57,89
BUS01,2025-05-15T00:26:00,40,420870,-3,701504,14,08
BUS01,2025-05-15T00:27:00,40,421052,-3,701735,10,65
BUS01,2025-05-15T00:28:00,40,421097,-3,701378,32,55
BUS01,2025-05-15T00:29:00,40,421444,-3,701468,44,49
BUS01,2025-05-15T00:30:00,40,421778,-3,701629,8,17
BUS01,2025-05-15T00:31:00,40,421736,-3,701295,50,20
BUS01,2025-05-15T00:32:00,40,422005,-3,701652,41,10
BUS01,2025-05-15T00:33:00,40,421957,-3,701351,34,66
BUS01,2025-05-15T00:34:00,40,421920,-3,701416,41,27
BUS01,2025-05-15T00:35:00,40,422096,-3,701590,8,17
BUS01,2025-05-15T00:36:00,40,421733,-3,701659,13,13
BUS01,2025-05-15T00:37:00,40,421333,-3,701787,29,59
BUS01,2025-05-15T00:38:00,40,421195,-3,701612,2,94
BUS01,2025-05-15T00:39:00,40,420732,-3,701361,56,18
BUS01,2025-05-15T00:40:00,40,421148,-3,701029,35,25
BUS01,2025-05-15T00:41:00,40,420801,-3,701282,50,85
BUS01,2025-05-15T00:42:00,40,420304,-3,700931,7,57
BUS01,2025-05-15T00:43:00,40,419849,-3,700604,54,26
BUS01,2025-05-15T00:44:00,40,419680,-3,700169,57,34
BUS01,2025-05-15T00:45:00,40,420067,-3,700477,58,39
BUS01,2025-05-15T00:46:00,40,420356,-3,700728,41,75
BUS01,2025-05-15T00:47:00,40,420231,-3,700721,8,10
BUS01,2025-05-15T00:48:00,40,420693,-3,700247,51,58
BUS01,2025-05-15T00:49:00,40,420734,-3,699990,0,43
BUS01,2025-05-15T00:50:00,40,420448,-3,699647,15,57
BUS01,2025-05-15T00:51:00,40,420628,-3,700007,49,02
BUS01,2025-05-15T00:52:00,40,421075,-3,700124,22,91
BUS01,2025-05-15T00:53:00,40,421529,-3,700113,11,30
